box_id,index,x,y,z,length,width,height,orientation,label_side
SKU-F,0,0.00,0.00,0.00,700.00,450.00,180.00,LWH,-x
SKU-F,1,0.00,450.00,0.00,700.00,450.00,180.00,LWH,-x
SKU-F,2,700.00,0.00,0.00,180.00,700.00,450.00,HLW,-x
SKU-H,0,0.00,0.00,180.00,500.00,500.00,400.00,LWH,+y
SKU-H,1,0.00,500.00,180.00,500.00,400.00,500.00,LHW,+y
SKU-B,0,0.00,0.00,580.00,500.00,400.00,300.00,LWH,+x
SKU-B,1,0.00,500.00,680.00,500.00,400.00,300.00,LWH,+x
SKU-I,0,700.00,700.00,0.00,300.00,220.00,450.00,WHL,
SKU-I,1,700.00,700.00,450.00,300.00,220.00,450.00,WHL,
SKU-A,0,500.00,0.00,180.00,200.00,400.00,300.00,HLW,+y
SKU-A,1,500.00,400.00,180.00,200.00,400.00,300.00,HLW,+y
SKU-A,2,500.00,0.00,480.00,200.00,400.00,300.00,HLW,+y
SKU-A,3,500.00,400.00,480.00,200.00,400.00,300.00,HLW,+y
SKU-J,0,700.00,0.00,450.00,160.00,350.00,280.00,HLW,-z
SKU-J,1,700.00,350.00,450.00,160.00,350.00,280.00,HLW,-z
SKU-G,0,700.00,0.00,730.00,150.00,200.00,150.00,WLH,
SKU-G,1,700.00,200.00,730.00,150.00,200.00,150.00,WLH,
SKU-G,2,700.00,400.00,730.00,150.00,200.00,150.00,WLH,
SKU-G,3,500.00,0.00,780.00,200.00,150.00,150.00,LWH,
SKU-G,4,500.00,150.00,780.00,200.00,150.00,150.00,LWH,
SKU-G,5,500.00,300.00,780.00,200.00,150.00,150.00,LWH,
SKU-G,6,500.00,450.00,780.00,200.00,150.00,150.00,LWH,
SKU-G,7,500.00,600.00,780.00,200.00,150.00,150.00,LWH,
