id,w,d,h,x,y,z
1,5,5,4,0,0,0
2,5,4,4,5,0,0
3,4,4,5,5,0,4
4,5,4,4,0,5,0
5,5,4,3,0,5,4
6,4,5,3,5,4,0
7,2,5,5,5,4,3
8,3,4,4,0,9,0
9,3,4,4,0,9,4
10,4,3,4,3,9,0
11,5,3,3,0,5,7
12,3,3,5,3,9,4
13,4,2,5,9,4,0
14,3,4,3,10,0,0
15,3,4,3,10,0,3
16,5,3,2,9,6,0
17,2,5,3,7,4,3
18,5,5,1,7,9,0
19,5,1,5,9,6,2
20,5,5,1,7,9,1
21,3,4,2,0,9,8
22,3,4,2,10,0,6
23,4,2,3,9,4,5
24,4,1,5,7,9,2
25,1,5,4,7,4,6
26,3,2,3,9,7,2
27,2,3,3,7,10,2
28,2,4,2,5,4,8
29,4,1,4,3,12,0
30,5,1,3,0,8,7
31,2,3,2,10,0,8
32,2,2,3,9,7,5
33,2,2,3,7,10,5
34,4,3,1,5,0,9
35,3,1,4,3,12,4
36,2,2,3,0,13,0
37,2,3,2,10,3,8
38,3,2,2,2,13,0
39,2,5,1,13,0,0
40,2,4,1,13,0,1
